town,ward,precinct,office,district,party,candidate,votes
TOTALS,,,State House,3rd Plymouth,Democratic,Total Votes Cast,4974
Westfield,,,Governor's Council,8th,Democratic,Edward M. O'Brien,270
Lynn,,,State House,9th Essex,Republican,Patrieia A. Cuddemi,19
Mendon,,,U.S. Senate,,Democratic,Edward M. Kennedy,76
Conway,,,U.S. House,1st,Republican,Blank Votes,1
Chelsea,,,Governor's Council,6th,Democratic,Blank Votes,280
Franklin,,,State House,10th Norfolk,Democratic,All Others,0
Deerfield,,,State House,1st Franklin,Democratic,All Others,0
Ayer,,,State House,1st Middlesex,Republican,Robert S. Hargraves,43
Warren,,,U.S. Senate,,Republican,Blank Votes,7
Halifax,,,U.S. Senate,,Democratic,Blank Votes,69
N. Reading,,,State Senate,1st Essex and Middlesex,Republican,Bruce E. Tarr,225
Tyngsborough,,,U.S. House,5th,Democratic,Thomas P. Tierney,64
Bellingham,,,U.S. Senate,,Democratic,Total Votes Cast,294
Wilbraham,,,Governor's Council,8th,Republican,Total Votes Cast,70
TOTALS,,,State House,14th Norfolk,Democratic,Lawrence R. Kaplan,571
TOTALS,,,State House,18th Middlesex,Democratic,Blank Votes,266
TOTALS,,,State House,4th Hampden,Republican,Cele Hahn,175
Stow,,,State House,3rd Middlesex,Democratic,Patricia A. Walrath,153
Dartmouth,,,Governor's Council,1st,Democratic,Total Votes Cast,989
Andover,,,U.S. Senate,,Republican,"Jack E. Robinson, III",320
Needham,,,State House,13th Norfolk,Republican,Sean E. Rickert,406
Granby,,,U.S. House,1st,Republican,Peter J. Abair,85
Peru,,,Governor's Council,8th,Democratic,Blank Votes,2
TOTALS,,,State House,6th Suffolk,Democratic,Shirley Shillingford,218
Wellesley,,,Governor's Council,3rd,Democratic,Ruth E. Nemzoff,129
Waltham,,,U.S. House,7th,Democratic,Blank Votes,1334
Lawrence,,,U.S. Senate,,Libertarian,All Others,0
Somerset,,,State House,5th Bristol,Republican,Jorden F. H. Fiore,99
Blandford,,,State House,3rd Hampden,Democratic,Total Votes Cast,22
Hadley,,,State Senate,Hampshire and Franklin,Democratic,All Others,0
Seekonk,,,U.S. Senate,,Republican,"Jack E. Robinson, III",51
Winchendon,,,State House,1st Worcester,Democratic,Blank Votes,17
Whitman,,,State Senate,2nd Plymouth and Bristol,Democratic,Blank Votes,92
Natick,,,Governor's Council,2nd,Democratic,Blank Votes,157
Belmont,,,U.S. Senate,,Democratic,Blank Votes,224
Southbridge,,,U.S. Senate,,Republican,Total Votes Cast,211
Taunton,,,U.S. Senate,,Libertarian,Carla A. Howell,9
Plympton,,,Governor's Council,1st,Democratic,John Thomas Saunders,22
Waltham,,,Governor's Council,3rd,Democratic,Total Votes Cast,3617
Carlisle,,,U.S. Senate,,Republican,"Jack E. Robinson, III",51
Northfield,,,U.S. House,1st,Republican,Total Votes Cast,21
Brewster,,,U.S. House,10th,Republican,Total Votes Cast,258
Conway,,,State House,1st Franklin,Democratic,Total Votes Cast,40
Southwick,,,State Senate,2nd Hampden and Hampshire,Republican,Total Votes Cast,38
Ashburnham,,,State Senate,Worcester and Middlesex,,All Others,0
Shirley,,,U.S. Senate,,Libertarian,Carla A. Howell,6
Beverly,,,U.S. House,6th,Republican,Paul McCarthy,273
TOTALS,,,U.S. House,6th,Republican,All Others,57
Charlton,,,U.S. Senate,,Democratic,Edward M. Kennedy,537
Westfield,,,U.S. Senate,,Republican,"Jack E. Robinson, III",109
Barre,,,Governor's Council,7th,Democratic,Dennis P. McManus,125
Granby,,,State House,7th Hampden,Republican,Total Votes Cast,117
Tewksbury,,,U.S. Senate,,Libertarian,Carla A. Howell,8
Williamsburg,,,State Senate,Hampshire and Franklin,Democratic,Total Votes Cast,54
Grafton,,,State Senate,2nd Worcester,Democratic,Guy William Glodis,283
Charlton,,,State House,6th Worcester,Democratic,Blank Votes,26
Mansfield,,,U.S. Senate,,Democratic,Edward M. Kennedy,364
Milton,,,State House,7th Norfolk,Democratic,Total Votes Cast,1629
Winchester,,,U.S. Senate,,Libertarian,Total Votes Cast,5
Dunstable,,,U.S. Senate,,Democratic,All Others,0
TOTALS,,,State Senate,Hampshire and Franklin,Democratic,All Others,9
TOTALS,,,State House,12th Hampden,Democratic,Benjamin Swan,1441
Attleboro,,,State House,2nd Bristol,Republican,John A. Lepper,273
Stoughton,,,State Senate,"Norfolk, Bristol and Plymouth",Democratic,James E. Timilty,632
Malden,,,State House,16th Suffolk,Democratic,Kathi-Anne Reinstein,229
Carver,,,State House,2nd Plymouth,Democratic,Ruth W. Provost,233
Worcester,,,U.S. Senate,,Democratic,Total Votes Cast,19904
Dighton,,,State House,5th Bristol,Republican,Blank Votes,3
Tewksbury,,,State Senate,2nd Essex and Middlesex,Democratic,All Others,12
TOTALS,,,State House,10th Essex,Democratic,All Others,2
Westminster,,,U.S. Senate,,Libertarian,All Others,0
Plympton,,,State House,12th Plymouth,Republican,William F. Cravens,39
Barre,,,U.S. Senate,,Libertarian,Total Votes Cast,1
W. Tisbury,,,State House,"Barnstable, Dukes and Nantucket",Democratic,Blank Votes,4
Brookline,,,State House,15th Norfolk,,All Others,0
Holden,,,Governor's Council,7th,Democratic,Total Votes Cast,2059
Plainfield,,,State House,2nd Berkshire,Republican,Blank Votes,1
Dalton,,,State House,2nd Berkshire,Republican,All Others,0
Randolph,,,State House,6th Norfolk,Democratic,Blank Votes,47
Provincetown,,,U.S. House,10th,Republican,All Others,0
Shrewsbury,,,State Senate,2nd Worcester,Democratic,All Others,13
Ware,,,Governor's Council,7th,Democratic,All Others,0
Swansea,,,State House,4th Bristol,Democratic,Blank Votes,129
Sheffield,,,U.S. House,1st,Republican,Peter J. Abair,28
Lawrence,,,U.S. Senate,,Libertarian,Carla A. Howell,1
Essex,,,State House,5th Essex,,All Others,0
Middleborough,,,U.S. Senate,,Democratic,Total Votes Cast,432
Easthampton,,,U.S. Senate,,Democratic,Total Votes Cast,196
Winchester,,,U.S. Senate,,Republican,All Others,16
Deerfield,,,U.S. Senate,,Democratic,All Others,0
New Braintree,,,U.S. House,1st,Democratic,All Others,0
TOTALS,,,U.S. House,10th,Republican,All Others,93
Peru,,,U.S. Senate,,Republican,Total Votes Cast,6
Brewster,,,U.S. Senate,,Democratic,Edward M. Kennedy,153
S. Hadley,,,Governor's Council,8th,Democratic,Blank Votes,36
TOTALS,,,State House,38th Middlesex,Republican,All Others,10
Taunton,,,U.S. Senate,,Republican,Blank Votes,84
Charlemont,,,Governor's Council,8th,Republican,Blank Votes,2
Leyden,,,Governor's Council,8th,Democratic,Edward M. O'Brien,5
Eastham,,,U.S. Senate,,Democratic,All Others,0
TOTALS,,,State House,1st Essex,Democratic,Total Votes Cast,2048
Lunenburg,,,Governor's Council,7th,Democratic,Total Votes Cast,186
Stow,,,State House,3rd Middlesex,Democratic,All Others,0
Royalston,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Stephen M. Brewer,30
Dover,,,State House,13th Norfolk,Democratic,Lida E. Harkins,83
Hancock,,,U.S. Senate,,Democratic,All Others,0
Middlefield,,,State House,2nd Berkshire,Democratic,Blank Votes,0
Tewksbury,,,State House,20th Middlesex,Democratic,Blank Votes,27
TOTALS,,,U.S. House,7th,Democratic,Total Votes Cast,34887
Woburn,,,State Senate,2nd Middlesex,Democratic,Total Votes Cast,246
Boxford,,,U.S. Senate,,Republican,Total Votes Cast,182
Sudbury,,,U.S. Senate,,Democratic,Total Votes Cast,578
Wales,,,State House,2nd Hampden,Republican,Total Votes Cast,14
Swansea,,,State House,4th Bristol,Democratic,Total Votes Cast,707
Topsfield,,,U.S. House,6th,Democratic,All Others,0
Chesterfield,,,State Senate,Hampshire and Franklin,Democratic,Stanley C. Rosenberg,12
Savoy,,,Governor's Council,8th,Democratic,All Others,0
Auburn,,,U.S. Senate,,Democratic,Blank Votes,262
TOTALS,,,State House,13th Middlesex,Democratic,Judith Deutsch,1012
Southborough,,,State House,8th Middlesex,Democratic,All Others,0
Scituate,,,State Senate,Plymouth and Norfolk,Republican,Total Votes Cast,603
Maynard,,,State Senate,Middlesex and Worcester,Libertarian,Total Votes Cast,5
Wareham,,,State House,2nd Plymouth,Democratic,Ruth W. Provost,674
Shirley,,,State Senate,Middlesex and Worcester,Libertarian,Blank Votes,2
Truro,,,State Senate,Cape and Islands,Democratic,Edward D. Lamperti,53
Lowell,,,U.S. House,5th,Democratic,All Others,16
Wilmington,,,Governor's Council,5th,Democratic,Patricia A. Dowling,609
Windsor,,,U.S. Senate,,Republican,Blank Votes,3
Leyden,,,State Senate,Hampshire and Franklin,Democratic,Blank Votes,0
Canton,,,Governor's Council,2nd,Democratic,Blank Votes,25
Millbury,,,U.S. Senate,,Democratic,Total Votes Cast,598
Eastham,,,State Senate,Cape and Islands,Republican,Blank Votes,7
Chelsea,,,State Senate,"Middlesex, Suffolk and Essex",Democratic,Total Votes Cast,856
Colrain,,,State House,2nd Franklin,Democratic,Total Votes Cast,23
Ashland,,,U.S. Senate,,Democratic,Total Votes Cast,200
Williamstown,,,U.S. House,1st,Democratic,All Others,0
Warren,,,U.S. Senate,,Libertarian,All Others,0
New Marlborough,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,Blank Votes,0
Westport,,,Governor's Council,1st,Democratic,John Thomas Saunders,354
Carver,,,State House,2nd Plymouth,Republican,Susan D. Williams,197
Methuen,,,U.S. House,5th,Democratic,Joseph F. Osbadeston,143
Lanesborough,,,Governor's Council,8th,Democratic,Blank Votes,6
Norton,,,State Senate,"Norfolk, Bristol and Plymouth",Democratic,All Others,2
N. Adams,,,Governor's Council,8th,Democratic,All Others,8
Sandisfield,,,Governor's Council,8th,Democratic,Total Votes Cast,12
Oakham,,,Governor's Council,7th,Democratic,All Others,0
Fall River,,,U.S. Senate,,Libertarian,Carla A. Howell,4
Pembroke,,,State House,6th Plymouth,Democratic,Blank Votes,340
TOTALS,,,State House,10th Plymouth,Republican,Blank Votes,113
TOTALS,,,State Senate,"Norfolk, Bristol and Middlesex",Republican,Daryl E. Hanlin,740
Williamsburg,,,U.S. Senate,,Democratic,Edward M. Kennedy,50
Deerfield,,,U.S. Senate,,Republican,Blank Votes,3
Georgetown,,,State House,2nd Essex,Republican,William C. Early,29
Gardner,,,U.S. Senate,,Libertarian,All Others,0
Oakham,,,State House,5th Worcester,Republican,Blank Votes,0
Seekonk,,,U.S. Senate,,Democratic,Edward M. Kennedy,96
Bolton,,,U.S. Senate,,Republican,"Jack E. Robinson, III",41
Foxborough,,,U.S. Senate,,Republican,Total Votes Cast,1233
Leyden,,,U.S. House,1st,Democratic,All Others,0
Plainfield,,,U.S. House,1st,Republican,Peter J. Abair,17
Nantucket,,,Governor's Council,1st,Democratic,All Others,0
Merrimac,,,State Senate,3rd Essex,Democratic,Blank Votes,42
Mendon,,,State Senate,Worcester and Norfolk,Democratic,Blank Votes,21
Braintree,,,State Senate,Norfolk and Plymouth,Democratic,All Others,8
Weston,,,State House,14th Norfolk,Democratic,Total Votes Cast,162
Northborough,,,State House,4th Middlesex,Democratic,Stephen P. LeDuc,63
Hancock,,,U.S. House,1st,Republican,Peter J. Abair,4
Salem,,,State House,7th Essex,Democratic,All Others,9
TOTALS,,,State House,10th Essex,Democratic,Total Votes Cast,1381
Marlborough,,,State House,4th Middlesex,Democratic,Blank Votes,122
Holyoke,,,Governor's Council,8th,Democratic,All Others,2
Weymouth,,,State House,4th Norfolk,,All Others,1
Bernardston,,,State Senate,Hampshire and Franklin,Democratic,All Others,0
Ashby,,,U.S. Senate,,Republican,Blank Votes,10
Shrewsbury,,,U.S. Senate,,Republican,Blank Votes,299
Mattapoisett,,,U.S. House,4th,Libertarian,Total Votes Cast,2
TOTALS,,,State House,1st Berkshire,Democratic,Blank Votes,61
Otis,,,U.S. Senate,,Democratic,Edward M. Kennedy,16
Tisbury,,,U.S. House,10th,Republican,Eric V. Bleicken,37
Falmouth,,,State Senate,Cape and Islands,Republican,Blank Votes,52
Framingham,,,State House,7th Middlesex,Libertarian,All Others,0
W. Brookfield,,,State House,5th Worcester,Republican,Total Votes Cast,33
Brockton,,,State House,10th Plymouth,Republican,Total Votes Cast,275
TOTALS,,,State House,11th Worcester,Republican,Blank Votes,54
Shelburne,,,U.S. House,1st,Republican,Blank Votes,4
Newbury,,,U.S. House,6th,Democratic,Blank Votes,18
Auburn,,,U.S. House,2nd,Democratic,Blank Votes,95
Acushnet,,,U.S. House,4th,Libertarian,Blank Votes,0
Whately,,,State Senate,Hampshire and Franklin,Democratic,Blank Votes,2
Ashby,,,U.S. House,1st,Republican,Blank Votes,3
Dighton,,,U.S. House,4th,Libertarian,David J. Euchner,1
Billerica,,,U.S. House,5th,Democratic,Martin T. Mechan,857
Dedham,,,U.S. House,9th,Republican,Total Votes Cast,201
Leominster,,,U.S. Senate,,Democratic,Edward M. Kennedy,854
Easton,,,State Senate,2nd Plymouth and Bristol,Democratic,Blank Votes,36
Tisbury,,,U.S. House,10th,Republican,All Others,1
Bridgewater,,,U.S. Senate,,Republican,"Jack E. Robinson, III",145
TOTALS,,,State House,6th Essex,Democratic,Total Votes Cast,2921
Wilmington,,,U.S. House,6th,Republican,Blank Votes,33
TOTALS,,,State House,34th Middlesex,Democratic,Total Votes Cast,1728
Boxford,,,U.S. House,6th,Republican,Blank Votes,14
Hudson,,,State House,3rd Middlesex,Republican,Total Votes Cast,123
Amherst,,,State Senate,Hampshire and Franklin,,All Others,0
Attleboro,,,U.S. House,3rd,Democratic,Blank Votes,45
Shutesbury,,,U.S. House,1st,Republican,Peter J. Abair,9
Littleton,,,State House,2nd Middlesex,Democratic,Geoffrey D. Hall,140
Boxford,,,State House,4th Essex,Republican,Bradford R. Hill,162
Alford,,,U.S. Senate,,Democratic,Total Votes Cast,15
Dighton,,,State Senate,1st Plymouth and Bristol,Republican,All Others,0
Florida,,,State House,1st Berkshire,Democratic,Blank Votes,4
Boston,,,State House,18th Suffolk,Democratic,Brian Paul Golden,458
Nahant,,,Governor's Council,5th,Democratic,Total Votes Cast,240
Groveland,,,U.S. Senate,,Democratic,Blank Votes,19
Merrimac,,,State House,2nd Essex,Democratic,Blank Votes,31
Whately,,,Governor's Council,8th,Republican,Marshall T. Moriarty,23
Middleton,,,State House,22nd Middlesex,Republican,Blank Votes,14
W. Bridgewater,,,State House,10th Plymouth,Republican,Richard J. Curran,147
Hanson,,,State Senate,Plymouth and Barnstable,Republican,Total Votes Cast,172
Wilmington,,,U.S. Senate,,Republican,Total Votes Cast,277
Maynard,,,U.S. Senate,,Republican,Total Votes Cast,129
Boxford,,,State Senate,1st Essex and Middlesex,Republican,Bruce E. Tarr,160
Westport,,,State House,8th Bristol,Democratic,All Others,0
W. Stockbridge,,,Governor's Council,8th,Republican,Marshall T. Moriarty,16
Lee,,,Governor's Council,8th,Republican,Total Votes Cast,43
Peabody,,,U.S. Senate,,Republican,Total Votes Cast,434
Mendon,,,U.S. House,2nd,Democratic,Richard E. Neal,65
Fall River,,,U.S. Senate,,Libertarian,Blank Votes,17
Boston,,,Governor's Council,2nd,Democratic,Total Votes Cast,3206
Westford,,,State House,2nd Middlesex,Libertarian,All Others,0
TOTALS,,,State House,7th Worcester,Republican,Paul K. Frost,496
Sandwich,,,State House,2nd Barnstable,Democratic,Demetrius J. Atsalis,50
Oakham,,,U.S. Senate,,Libertarian,Total Votes Cast,4
Peru,,,U.S. Senate,,Republican,Blank Votes,0
Fall River,,,State House,6th Bristol,,Total Votes Cast,4662
Abington,,,Governor's Council,2nd,Democratic,Kelly Tinility,231
W. Newbury,,,U.S. House,6th,Republican,Total Votes Cast,85
Melrose,,,Governor's Council,6th,Democratic,Total Votes Cast,904
Lexington,,,State Senate,5th Middlesex,Republican,Total Votes Cast,188
Carver,,,State House,12th Plymouth,Democratic,Thomas J. O'Brien,88
Burlington,,,U.S. House,6th,Democratic,All Others,4
Royalston,,,U.S. House,1st,Democratic,Blank Votes,4
Northampton,,,U.S. House,2nd,Democratic,Joseph R. Fountain,88
Salem,,,U.S. House,6th,Republican,Frederick T. Golder,77
Randolph,,,State Senate,Suffolk and Norfolk,Democratic,Brian A. Joyce,816
Salem,,,U.S. Senate,,Democratic,All Others,21
Hamilton,,,State Senate,1st Essex and Middlesex,Republican,All Others,0
Tyngsborough,,,State House,39th Middlesex,Republican,All Others,0
Boston,,,State House,9th Suffolk,Democratic,Byron Rushing,513
Ipswich,,,U.S. House,6th,Republican,All Others,6
Dudley,,,State House,6th Worcester,Republican,All Others,1
Clinton,,,U.S. Senate,,Republican,Blank Votes,37
Avon,,,U.S. House,10th,Republican,Blank Votes,12
Manchester-by-the-Sea,,,U.S. Senate,,Libertarian,Carla A. Howell,1
Norton,,,State House,1st Bristol,Republican,All Others,9
Saugus,,,State House,9th Essex,Republican,All Others,33
Worcester,,,State House,15th Worcester,Democratic,Blank Votes,646
Malden,,,State Senate,3rd Middlesex,Republican,Total Votes Cast,236
W. Newbury,,,U.S. Senate,,Libertarian,Blank Votes,0
Dennis,,,State House,4th Barnstable,Republican,Total Votes Cast,90
Hingham,,,U.S. Senate,,Libertarian,Blank Votes,0
Paxton,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,All Others,2
Braintree,,,Governor's Council,4th,Democratic,Total Votes Cast,2057
Plainfield,,,U.S. Senate,,Republican,All Others,0
Orleans,,,U.S. Senate,,Republican,"Jack E. Robinson, III",114
Hingham,,,State Senate,Plymouth and Norfolk,Democratic,Blank Votes,376
Longmeadow,,,State Senate,1st Hampden and Hampshire,Republican,Total Votes Cast,145
Amesbury,,,U.S. House,6th,,All Others,1
Hinsdale,,,State House,2nd Berkshire,Republican,Blank Votes,0
Wilmington,,,U.S. House,6th,Democratic,Total Votes Cast,1373
Saugus,,,Governor's Council,5th,Democratic,All Others,1
Danvers,,,U.S. House,6th,Republican,Frederick T. Golder,152
Ashburnham,,,Governor's Council,7th,Democratic,Total Votes Cast,135
Sutton,,,U.S. Senate,,Democratic,Total Votes Cast,263
Egremont,,,U.S. Senate,,Democratic,Edward M. Kennedy,22
Pepperell,,,State Senate,1st Middlesex,Democratic,Blank Votes,60
TOTALS,,,State House,2nd Barnstable,Republican,Blank Votes,305
N. Adams,,,U.S. House,1st,Republican,All Others,2
Boylston,,,State Senate,1st Worcester,Republican,Blank Votes,10
Boylston,,,State House,12th Worcester,Democratic,Total Votes Cast,436
TOTALS,,,State House,24th Middlesex,Democratic,Total Votes Cast,1202
Townsend,,,State House,1st Middlesex,Republican,Robert S. Hargraves,142
Newbury,,,State House,2nd Essex,Democratic,Blank Votes,28
Erving,,,Governor's Council,7th,Democratic,Blank Votes,5
Swampscott,,,U.S. House,6th,Democratic,Blank Votes,213
Orange,,,U.S. Senate,,Republican,All Others,0
Greenfield,,,U.S. Senate,,Democratic,Blank Votes,10
Plainville,,,State House,14th Bristol,Republican,All Others,0
Greenfield,,,Governor's Council,8th,Democratic,Blank Votes,21
Winthrop,,,State House,19th Suffolk,Democratic,Robert A. DeLeo,445
Duxbury,,,U.S. House,10th,Republican,All Others,0
Brookline,,,U.S. Senate,,Democratic,All Others,0
Warwick,,,U.S. Senate,,Republican,All Others,0
Quincy,,,Governor's Council,4th,Democratic,All Others,39
Hingham,,,State House,3rd Plymouth,Republican,Total Votes Cast,726
TOTALS,,,State House,5th Hampden,Republican,Total Votes Cast,345
Greenfield,,,U.S. Senate,,Libertarian,Blank Votes,0
Stockbridge,,,State House,4th Berkshire,Democratic,All Others,1
TOTALS,,,State House,10th Hampden,Democratic,All Others,15
Hopedale,,,State Senate,2nd Worcester,Democratic,Guy William Glodis,147
Sherborn,,,State House,5th Middlesex,Democratic,David Paul Linsky,77
TOTALS,,,State House,33rd Middlesex,Democratic,Blank Votes,487
Norwell,,,U.S. House,10th,Republican,All Others,1
Rutland,,,U.S. Senate,,Democratic,Edward M. Kennedy,243
TOTALS,,,State Senate,Middlesex and Worcester,Libertarian,Kamal Jain,50
Stow,,,U.S. Senate,,Libertarian,Total Votes Cast,7
Wilmington,,,State Senate,1st Essex and Middlesex,Republican,Bruce E. Tarr,228
Mendon,,,State Senate,Worcester and Norfolk,Democratic,All Others,0
Lakeville,,,Governor's Council,1st,Democratic,John Thomas Saunders,72
TOTALS,,,State House,9th Bristol,Democratic,All Others,3
Deerfield,,,State House,1st Franklin,Democratic,Stephen Kulik,44
Watertown,,,U.S. Senate,,Democratic,Blank Votes,309
Wellfleet,,,U.S. Senate,,Libertarian,All Others,0
Hancock,,,Governor's Council,8th,Democratic,Blank Votes,1
Ipswich,,,State Senate,1st Essex and Middlesex,Republican,Bruce E. Tarr,278
W. Stockbridge,,,Governor's Council,8th,Republican,Total Votes Cast,21
Sherborn,,,U.S. Senate,,Republican,Total Votes Cast,57
Foxborough,,,State House,1st Bristol,Republican,Blank Votes,2
Georgetown,,,U.S. House,6th,Democratic,Total Votes Cast,127
Hull,,,State Senate,Plymouth and Norfolk,Republican,Blank Votes,34
Hanson,,,State House,6th Plymouth,Democratic,Total Votes Cast,324
TOTALS,,,State House,7th Norfolk,Democratic,All Others,4
Rowe,,,State House,2nd Berkshire,Republican,Shaun P. Kelly,13
Plainville,,,U.S. Senate,,Republican,"Jack E. Robinson, III",78
Hudson,,,U.S. Senate,,Democratic,Blank Votes,54
Hamilton,,,State House,4th Essex,Republican,Blank Votes,15
Wellfleet,,,U.S. Senate,,Democratic,Blank Votes,5
Pepperell,,,State Senate,1st Middlesex,Democratic,Total Votes Cast,343
Medfield,,,U.S. House,9th,Republican,Janet E. Jeghelian,111
Medford,,,State House,38th Middlesex,Democratic,"Paul J. Donato, Sr.",2144
Berkley,,,Governor's Council,1st,Democratic,Blank Votes,12
Whately,,,State House,1st Franklin,Democratic,Total Votes Cast,36
Westborough,,,State Senate,Middlesex and Worcester,Democratic,Blank Votes,49
Williamsburg,,,Governor's Council,8th,Republican,Total Votes Cast,20
Hanson,,,U.S. Senate,,Democratic,Total Votes Cast,324
Taunton,,,State House,3rd Bristol,Democratic,Blank Votes,256
Randolph,,,U.S. Senate,,Democratic,All Others,14
TOTALS,,,State Senate,5th Middlesex,Democratic,Blank Votes,1580
Pittsfield,,,State House,2nd Berkshire,Republican,All Others,0
Shutesbury,,,U.S. Senate,,Democratic,Total Votes Cast,46
Barnstable,,,State House,"Barnstable, Dukes and Nantucket",,Total Votes Cast,64
Brockton,,,U.S. Senate,,Republican,All Others,31
Wayland,,,Governor's Council,3rd,Democratic,Ruth E. Nemzoff,143
Ashby,,,U.S. Senate,,Republican,All Others,0
Clarksburg,,,U.S. House,1st,Democratic,Total Votes Cast,23
Plympton,,,U.S. House,4th,Democratic,Barney Frank,84
Tewksbury,,,U.S. Senate,,Libertarian,All Others,0
Royalston,,,U.S. Senate,,Republican,All Others,1
Wayland,,,State Senate,5th Middlesex,Republican,Total Votes Cast,246
Warren,,,U.S. House,2nd,Democratic,All Others,0
Lunenburg,,,U.S. House,1st,Republican,Total Votes Cast,90
Boston,,,State House,18th Suffolk,,Total Votes Cast,802
Halifax,,,U.S. Senate,,Democratic,Total Votes Cast,429
Winchendon,,,State House,1st Worcester,Democratic,Total Votes Cast,88
Essex,,,State Senate,1st Essex and Middlesex,Republican,Bruce E. Tarr,52
Natick,,,U.S. Senate,,Libertarian,All Others,0
Sterling,,,U.S. Senate,,Republican,Blank Votes,20
Deerfield,,,U.S. House,1st,Democratic,Total Votes Cast,46
N. Andover,,,U.S. House,6th,Democratic,John F. Tierney,651
Lynn,,,Governor's Council,5th,Democratic,Patricia A. Dowling,953
TOTALS,,,Governor's Council,4th,Democratic,Blank Votes,14948
Petersham,,,U.S. House,1st,Democratic,John W. Olver,35
Natick,,,Governor's Council,2nd,Democratic,Total Votes Cast,771
Truro,,,Governor's Council,1st,Democratic,Blank Votes,9
Manchester-by-the-Sea,,,U.S. Senate,,Republican,All Others,4
Petersham,,,U.S. Senate,,Democratic,Edward M. Kennedy,33
Milford,,,U.S. Senate,,Democratic,Blank Votes,197
Lenox,,,U.S. House,1st,Republican,Peter J. Abair,19
Springfield,,,State House,10th Hampden,Democratic,Blank Votes,138
TOTALS,,,State House,17th Suffolk,Democratic,Kevin G. Honan,510
Wellesley,,,Governor's Council,3rd,Democratic,Blank Votes,76
Orleans,,,U.S. House,10th,Republican,Eric V. Bleicken,147
TOTALS,,,State House,2nd Barnstable,Democratic,Total Votes Cast,1018
Salisbury,,,U.S. House,6th,Republican,Paul McCarthy,87
Mansfield,,,U.S. House,4th,Libertarian,Total Votes Cast,5
Williamsburg,,,U.S. House,1st,Democratic,All Others,0
Pepperell,,,U.S. House,5th,Democratic,Thomas P. Tierney,53
Essex,,,Governor's Council,5th,Democratic,Mary-Ellen Manning,25
Danvers,,,U.S. Senate,,Democratic,Edward M. Kennedy,596
TOTALS,,,State House,"Barnstable, Dukes and Nantucket",Democratic,Blank Votes,277
Tewksbury,,,U.S. House,5th,Democratic,All Others,10
Auburn,,,U.S. Senate,,Libertarian,Blank Votes,0
Framingham,,,Governor's Council,2nd,Democratic,Blank Votes,11
Springfield,,,State House,12th Hampden,Democratic,Total Votes Cast,2260
Longmeadow,,,U.S. House,2nd,Democratic,Total Votes Cast,239
New Braintree,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Total Votes Cast,67
Everett,,,U.S. Senate,,Democratic,Total Votes Cast,1498
Charlemont,,,State House,2nd Berkshire,Democratic,Total Votes Cast,10
Milton,,,State House,7th Norfolk,,All Others,0
Northborough,,,U.S. Senate,,Republican,Blank Votes,17
Boston,,,State House,10th Suffolk,Democratic,All Others,0
Leicester,,,State House,17th Worcester,Democratic,"John J. Binienda, Sr.",479
Norton,,,U.S. Senate,,Democratic,Edward M. Kennedy,196
Shrewsbury,,,Governor's Council,7th,Democratic,Blank Votes,543
E. Brookfield,,,U.S. House,2nd,Democratic,Richard E. Neal,40
Bellingham,,,U.S. Senate,,Libertarian,Total Votes Cast,4
Millis,,,U.S. Senate,,Libertarian,Carla A. Howell,10
Peabody,,,U.S. Senate,,Democratic,Edward M. Kennedy,2003
Wrentham,,,U.S. House,3rd,Democratic,James P. McGovern,178
Norton,,,State Senate,"Norfolk, Bristol and Plymouth",Republican,Jo Ann Sprague,324
Billerica,,,State House,24th Middlesex,Libertarian,Total Votes Cast,31
Erving,,,U.S. House,1st,Republican,Blank Votes,1
Royalston,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Blank Votes,1
Nantucket,,,U.S. Senate,,Republican,Total Votes Cast,173
Rockland,,,U.S. Senate,,Republican,Total Votes Cast,164
Chicopee,,,U.S. Senate,,Libertarian,All Others,0
Plainville,,,Governor's Council,2nd,Democratic,All Others,0
Waltham,,,State Senate,5th Middlesex,Democratic,Blank Votes,822
Methuen,,,U.S. House,5th,Democratic,Total Votes Cast,2139
Scituate,,,U.S. Senate,,Republican,Total Votes Cast,603
TOTALS,,,State Senate,"Middlesex, Norfolk & Worcester",Democratic,Total Votes Cast,9413
Ashland,,,U.S. Senate,,Libertarian,Carla A. Howell,3
Malden,,,U.S. Senate,,Republican,"Jack E. Robinson, III",145
Weston,,,State House,14th Norfolk,Democratic,Blank Votes,43
Hopkinton,,,State Senate,"Middlesex, Norfolk & Worcester",Democratic,Blank Votes,99
TOTALS,,,State House,35th Middlesex,Democratic,All Others,12
Holland,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Stephen M. Brewer,29
Wakefield,,,State Senate,3rd Middlesex,Republican,Blank Votes,15
Oak Bluffs,,,State House,"Barnstable, Dukes and Nantucket",Republican,Blank Votes,17
Easton,,,U.S. Senate,,Libertarian,Blank Votes,0
Westfield,,,U.S. House,1st,Democratic,All Others,3
TOTALS,,,State Senate,Middlesex and Worcester,Democratic,Pamela P. Resor,3340
